City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,Cape Town,-33.9258,18.4232,66.0,88,20,19.57,ZA,2021-04-04 21:05:06
106,Mar Del Plata,-38.0023,-57.5575,71.01,94,0,14.97,AR,2021-04-04 21:08:45
107,Mount Isa,-20.7333,139.5,68.0,77,0,8.34,AU,2021-04-04 21:08:46
108,Kaitangata,-46.2817,169.8464,63.0,46,21,23.0,NZ,2021-04-04 21:08:46
109,Coihaique,-45.5752,-72.0662,60.8,67,75,5.75,CL,2021-04-04 21:08:46
110,Rawson,-43.3002,-65.1023,86.2,27,16,22.15,AR,2021-04-04 21:07:49
111,Faanui,-16.4833,-151.75,82.08,75,20,9.91,PF,2021-04-04 21:08:46
112,Kavieng,-2.5744,150.7967,79.38,81,96,6.46,PG,2021-04-04 21:08:47
113,Abdanan,32.9926,47.4198,53.6,46,0,11.65,IR,2021-04-04 21:08:47
114,Morro Bay,35.3658,-120.8499,72.0,72,98,5.01,US,2021-04-04 21:07:04
115,Pangody,65.85,74.4859,31.62,92,100,10.94,RU,2021-04-04 21:08:47
116,Acapulco,16.8634,-99.8901,86.0,66,1,11.5,MX,2021-04-04 21:08:47
117,Nipawin,53.3668,-104.0009,42.8,65,1,13.8,CA,2021-04-04 21:08:48
118,Saldanha,-33.0117,17.9442,64.4,88,6,8.05,ZA,2021-04-04 21:08:48
119,Port Lincoln,-34.7333,135.8667,61.81,83,0,12.48,AU,2021-04-04 21:07:41
120,Anloga,5.7947,0.8973,84.2,84,20,12.66,GH,2021-04-04 21:08:49
121,Ucluelet,48.9329,-125.5528,50.0,53,20,16.11,CA,2021-04-04 21:08:49
122,Pervomayskiy,53.2485,40.2871,32.83,93,8,2.84,RU,2021-04-04 21:08:49
123,Maldonado,-34.6667,-54.9167,75.0,78,20,13.8,UY,2021-04-04 21:08:49
124,Nome,64.5011,-165.4064,-0.99,78,90,24.16,US,2021-04-04 21:08:26
125,Caconda,-13.7333,15.0667,66.47,65,100,3.62,AO,2021-04-04 21:08:50
126,Mount Gambier,-37.8333,140.7667,57.2,72,78,9.22,AU,2021-04-04 21:08:50
127,Saskylakh,71.9167,114.0833,-26.88,100,23,3.76,RU,2021-04-04 21:07:24
128,Quelimane,-17.8786,36.8883,78.8,78,0,5.75,MZ,2021-04-04 21:07:41
129,Provideniya,64.3833,-173.3,5.0,61,0,4.47,RU,2021-04-04 21:07:25
130,Toropets,56.4978,31.6353,32.72,88,100,7.72,RU,2021-04-04 21:08:50
131,Thompson,55.7435,-97.8558,42.8,28,40,2.3,CA,2021-04-04 21:04:20
132,Tuatapere,-46.1333,167.6833,53.01,90,97,18.99,NZ,2021-04-04 21:06:58
133,Atuona,-9.8,-139.0333,80.71,80,59,10.11,PF,2021-04-04 21:08:50
134,Port-Gentil,-0.7193,8.7815,82.4,89,20,9.22,GA,2021-04-04 21:08:51
